GameID,IDTitle,IDRegion,IDCategory,Game,MatchType,MatchScore,Resolution,Backend,Playability,InternalResolution,GraphicsBackend,SkipBufferEffects,AnisotropyLevel,TextureBackoffCache,SplineBezierQuality,SkipGPUReadbacks,CPUSpeed,FrameSkip,AutoFrameSkip,TexScalingType,TexScalingLevel,NotesParsed,NotesOriginal
JRPG00001,Black Rock Shooter: The Game,Japan,Games,Black Rock Shooter The Game,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40015,Ridge Racer,Asia,Games,Ridge Racer,exact,2.000,SBE,OpenGL,Runs at close to or full speed without frameskip,,0,True,2,True,0,,111,0,False,0,2,"AnisotropyLevel=2;TexScalingType=0,TexScalingLevel=2;SkipBufferEffects=True;Playability=NoFrameskip","Skip buffer effects, 2x xBRZ texture upscaling + 2x AF. Slightly grey overlay when using nitrous"
UCAS40093,Ridge Racer,Asia,Games,Ridge Racer,exact,2.000,SBE,OpenGL,Runs at close to or full speed without frameskip,,0,True,2,True,0,,111,0,False,0,2,"AnisotropyLevel=2;TexScalingType=0,TexScalingLevel=2;SkipBufferEffects=True;Playability=NoFrameskip","Skip buffer effects, 2x xBRZ texture upscaling + 2x AF. Slightly grey overlay when using nitrous"
UCAS40120,Ace Combat X: Skies of Deception,"Japan, Asia",Games,Ace Combat X: Skies of Deception,exact,2.000,2x,Vulkan,Runs at close to or full speed without frameskip,2,3,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40145,Ratchet & Clank: Size Matters,Asia,Games,Ratchet & Clank: Size Matters,exact,2.000,2x,Vulkan,Playable with frameskip of 1 (close to full speed),2,3,,0,True,0,True,111,1,False,,,SkipGPUReadbacks=True;Playability=Frameskip1,Skip GPU readbacks. Drops to 25fps at times with several enemies on screen
UCAS40164,Tekken: Dark Resurrection,"Japan, Asia",Games,Tekken: Dark Resurrection,exact,2.000,1x,OpenGL,Runs at close to or full speed without frameskip,1,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40167,Crisis Core: Final Fantasy VII,"Japan, Asia",Games,Crisis Core: Final Fantasy VII,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40179,WipEout Pulse,Asia,Games,WipEout Pulse,exact,2.000,1x,OpenGL,Playable with frameskip of 1 (close to full speed),1,0,,0,True,0,,111,1,False,,,Playability=Frameskip1,Vulkan has graphical glitches that aren't worth any performance gains
UCAS40198,God of War: Chains of Olympus,Asia,Games,God of War: Chains of Olympus,exact,2.000,1x,Vulkan,Playable with frameskip of 1 (close to full speed),1,3,,0,True,0,,333,1,False,,,CPUSpeed=333;Playability=Frameskip1,333MHz CPU clock. Set number of frames to off and auto frameskip on for a stable 30fps (with cheat active). Using magic may cause drops below 30fps
UCAS40223,Disgaea: Afternoon of Darkness,Asia,Games,Disgaea: Afternoon of Darkness,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40262,LittleBigPlanet,Asia,Games,LittleBigPlanet,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
UCAS40268,Armored Core 3 Portable,"Japan, Asia",Games,Armored Core 3 Portable,exact,2.000,2x,OpenGL,Runs at close to or full speed without frameskip,2,0,,2,True,0,,111,0,False,,,AnisotropyLevel=2;Playability=NoFrameskip,2x AF
UCAS40272,Crisis Core: Final Fantasy VII,"Japan, Asia",Games,Crisis Core: Final Fantasy VII,exact,2.000,3x,OpenGL,Runs at close to or full speed without frameskip,3,0,,0,True,0,,111,0,False,,,Playability=NoFrameskip,
