title_id,title,region,category
ULUS-10020,Ghost in the Shell: Stand Alone Complex,USA,Games
UCES-00001,WipEout Pure,Europe,Games
ULES-00507,Open Season,Europe,Games
ULES-00046,Untold Legends: Brotherhood of the Blade,Europe,Games
ULAS-42080,Need for Speed: Carbon: Own the City,Asia,Games
UCES-00015,Fired Up,"Europe, Australia",Games
UCES-00015/ANZ,Fired Up,"Europe, Australia",Games
UCES-00006,MediEvil: Resurrection,Europe,Games
ULUS-10002,Lumines: Puzzle Fusion,USA,Games
ULUS-10002GH,Lumines: Puzzle Fusion,USA,Games
UCES-00002,Ridge Racer,"Europe, Australia",Games
ULUS-10021,Midnight Club 3: DUB Edition,USA,Games
ULES-00754,Full Auto 2: Battlelines,Europe,Games
UCED-00499,Retail Sampler No. 3 for PSP,Europe,Demos
ULUS-10160GH,Grand Theft Auto: Vice City Stories,USA,Games
ULUS-10160,Grand Theft Auto: Vice City Stories,USA,Games
ULES-00151,Grand Theft Auto: Liberty City Stories,Europe,Games
ULES-00151#2,Grand Theft Auto: Liberty City Stories,Europe,Games
ULES-00151/P,Grand Theft Auto: Liberty City Stories,Europe,Games
ULUS-10086,Untold Legends: The Warrior's Code,USA,Games
ULES-00599,Star Wars: Lethal Alliance,Europe,Games
ULUS-10038,The Lord of the Rings: Tactics,USA,Games
ULES-00608,Brothers in Arms: D-Day,"Europe, Australia",Games
ULAS-42031,Need for Speed: Most Wanted: 5-1-0,Asia,Games
ULES-00376,Miami Vice: The Game,Russia,Games
ULAS-42085,The Sims 2: Pets,Asia,Games
ULES-00043,Lumines: Puzzle Fusion,Europe,Games
ULES-00225,Peter Jackson's King Kong: The Official Game of the Movie,Europe,Games
ULES-00281,Tom Clancy's Splinter Cell: Essentials,"Europe, Australia",Games
UCES-00019,Pursuit Force,Europe,Games
UCES-00019/9162315,Pursuit Force,Europe,Games
UCUS-98623,Kingdom of Paradise,USA,Games
ULAS-42003,NBA Street Showdown,Asia,Games
ULES-00502,Grand Theft Auto: Vice City Stories,Europe,Games
ULES-00502/P,Grand Theft Auto: Vice City Stories,Europe,Games
UCES-00279,Killzone: Liberation,Europe,Games
UCES-00279/P,Killzone: Liberation,Europe,Games
ULES-00553,Lumines II,Europe,Games
UCUS-98646,Killzone: Liberation,USA,Games
ULES-00284,Metal Gear Ac!d²,Europe,Games
ULES-00196,Need for Speed: Most Wanted: 5-1-0,Europe,Games
ULES-00576,Need for Speed: Carbon: Own the City,Europe,Games
ULES-00576/P,Need for Speed: Carbon: Own the City,Europe,Games
ULES-00283,Lara Croft Tomb Raider: Legend,Europe,Games
ULES-00283#,Lara Croft Tomb Raider: Legend,Europe,Games
UCES-00356,Tekken: Dark Resurrection,"Europe, Australia",Games
UCES-00356#,Tekken: Dark Resurrection,"Europe, Australia",Games
UCES-00356/ANZ#,Tekken: Dark Resurrection,"Europe, Australia",Games
UCES-00356/P,Tekken: Dark Resurrection,"Europe, Australia",Games
UCES-00238,Formula One 06,Europe,Games
ULES-00476,Pro Evolution Soccer 6,Europe,Games
ULES-00476/P,Pro Evolution Soccer 6,Europe,Games
ULES-00211,The Sims 2,Europe,Games
ULUS-10243,TMNT,USA,Games
ULES-00812,DreamWorks Shrek the Third,Europe,Games
ULUS-10184,Coded Arms: Contagion,USA,Games
ULES-00125#,Burnout Legends,Europe,Games
ULES-00183,Star Wars: Battlefront II,"Europe, Australia",Games
ULES-00183/P,Star Wars: Battlefront II,"Europe, Australia",Games
ULES-00748#,Disney · Pixar Ratatouille,Russia,Games
ULES-00927,SWAT: Target Liberty,Europe,Games
ULES-00869,Silent Hill Origins,Europe,Games
ULES-00823,Transformers: The Game,Europe,Games
ULAS-42090,Salamander Portable,"Japan, Asia",Games
ULJM-05219,Salamander Portable,"Japan, Asia",Games
ULJM-05007,Puyo Puyo Fever,Japan,Games
ULJM-05026,Star Soldier,Japan,Games
ULJM-05235,Star Soldier,Japan,Games
ULJS-19001,Armored Core: Formula Front International,Japan,Games
ULJM-91007,Blokus Club Portable with Bumpy Trot,Japan,Demos
ULJM-91004,Capcom Special Taikenban 3 in 1,Japan,Demos
ULJM-05039,Densha de Go! Pocket: Yamanotesen-hen,Japan,Games
ULJS-00002,Kotoba no Puzzle: Mojipittan Daijiten,Japan,Games
ULJS-19003,Kotoba no Puzzle: Mojipittan Daijiten,Japan,Games
ULJM-91011,Irem Taikenban Shuu 2007 Kaki Tokubetsugou,Japan,Demos
ULES-00899,Spider-Man: Friend or Foe,Europe,Games
ULES-00928,Juiced 2: Hot Import Nights,Europe,Games
ULES-00720,Puzzle Quest: Challenge of the Warlords,Europe,Games
UCAS-40207,Irregular Hunter X,"Japan, Asia",Games
ULAS-42036,Irregular Hunter X,"Japan, Asia",Games
ULJM-05043,Irregular Hunter X,"Japan, Asia",Games
ULJM-05226,Irregular Hunter X,"Japan, Asia",Games
UCAS-40166,Namco Museum,"Japan, Asia",Games
ULJS-00012,Namco Museum,"Japan, Asia",Games
ULJS-19006,Namco Museum,"Japan, Asia",Games
UCAS-40146,Final Fantasy,"Japan, Asia",Games
UCKS-45056,Final Fantasy,"Japan, Asia",Games
ULJM-05241,Final Fantasy,"Japan, Asia",Games
ULJM-05514,Final Fantasy,"Japan, Asia",Games
ULJM-05002,Mahjong Fight Club,Japan,Games
ULJM-08005,Mahjong Fight Club,Japan,Games
ULAS-42104,Harry Potter and the Order of the Phoenix,Asia,Games
