2048_libretro.so;2048;
81_libretro.so;EightyOne;
DoubleCherryGB_libretro.so;DoubleCherryGB;
a5200_libretro.so;a5200;
arduous_libretro.so;arduous;
atari800_libretro.so;Atari800;
bash_launcher_libretro.so;
bk_libretro.so;
bluemsx_libretro.so;blueMSX;
bnes_libretro.so;bnes;
cannonball_libretro.so;Cannonball;
cap32_libretro.so;cap32;
chailove_libretro.so;ChaiLove;
craft_libretro.so;Craft;
crocods_libretro.so;crocods;
daphne_libretro.so;Daphne;
km_daphne_xtreme_libretro.so;Daphne Xtreme;
desmume2015_libretro.so;DeSmuME 2015;
dinothawr_libretro.so;Dinothawr;
dosbox_libretro.so;DOSBox;
dosbox_pure_libretro.so;DOSBox-pure;
dosbox_svn_libretro.so;
duckstation_libretro.so;DuckStation;
easyrpg_libretro.so;EasyRPG Player;
ecwolf_libretro.so;ecwolf;
ep128emu_core_libretro.so;ep128emu;
fake08_libretro.so;fake-08;
fbalpha2012_cps1_libretro.so;FB Alpha 2012 CPS-1;
fbalpha2012_cps2_libretro.so;FB Alpha 2012 CPS-2;
fbalpha2012_cps3_libretro.so;FB Alpha 2012 CPS-3;
fbalpha2012_libretro.so;FB Alpha 2012;
fbalpha2012_neogeo_libretro.so;FB Alpha 2012 Neo Geo;
fbalpha_libretro.so;FB Alpha 2012;
fbneo_libretro.so;FinalBurn Neo;
fceumm_libretro.so;FCEUmm;
fceunext_libretro.so;FCEUmm;
fly_flycast_libretro.so;Flycast;
flycast_libretro.so;Flycast;
flycast_rumble_libretro.so;Flycast;
fmsx_libretro.so;fMSX;
freechaf_libretro.so;FreeChaF;
freeintv_libretro.so;FreeIntv;
freej2me_libretro.so;
fuse_libretro.so;fuse;
gambatte_gb_libretro.so;Gambatte;
gambatte_libretro.so;Gambatte;
gearboy_libretro.so;Gearboy;
gearcoleco_libretro.so;Gearcoleco;
gearsystem_libretro.so;Gearsystem;
genesis_plus_gx_libretro.so;Genesis Plus GX;
genesis_plus_gx_wide_libretro.so;Genesis Plus GX;
geolith_libretro.so;Geolith;
gme_libretro.so;Game Music Emulator;
gpsp_libretro.so;gpSP;
gw_libretro.so;Game & Watch;
handy_libretro.so;Handy;
hatari_libretro.so;Hatari;
imageviewer_libretro.so;image display;
km_mame2003_xtreme_amped_libretro.so;MAME 2003-Xtreme;
libfceumm.so;
libmgba.so;
lowresnx_libretro.so;LowRes NX;
lutro_libretro.so;lutro;
mame2000_libretro.so;MAME 2000;
mame2003_libretro.so;MAME 2003 (0.78);
mame2003_plus_libretro.so;MAME 2003-Plus;
mame2010_libretro.so;MAME 2010;
mame2015_libretro.so;MAME 2015;
mame_libretro.so;MAME;
mamearcade2016_libretro.so;MAME 2016;
mamearcade_libretro.so;MAME;
mednafen_gba_libretro.so;Beetle GBA;
mednafen_gba_libretro_libretro.so;Beetle GBA;
mednafen_lynx_libretro.so;Beetle Lynx;
mednafen_ngp_libretro.so;Beetle NeoPop;
mednafen_pce_fast_libretro.so;Beetle PCE Fast;
mednafen_pcfx_libretro.so;Beetle PC-FX;
mednafen_supafaust_libretro.so;Supafaust;
mednafen_supergrafx_libretro.so;Beetle SuperGrafx;
mednafen_vb_libretro.so;Beetle VB;
mednafen_wswan_libretro.so;Beetle WonderSwan;
melonds_libretro.so;melonDS;
mesen_libretro.so;Mesen;
mess2015_libretro.so;MESS 2015;
mess_libretro.so;MAME;
meteor_libretro.so;Meteor GBA;
mgba_libretro.so;mGBA;
mgba_rumble_libretro.so;/mGBA;
